Meal,Category,Cuisine,Instructions,Image,YouTube
Chicken Fried Rice,Chicken,Chinese,"Fried rice is best made with leftover rice that's at least a day old. Otherwise it becomes gummy in the skillet.
If you don’t have any leftover rice ...",https://www.themealdb.com/images/media/meals/wuyd2h1765655837.jpg,https://www.youtube.com/watch?v=mUr-7wjhHuU
Chicken Parmentier,Chicken,France,"For the topping, boil the potatoes in salted water until tender. Drain and push through a potato ricer, or mash thoroughly. Stir in the butter, cream ...",https://www.themealdb.com/images/media/meals/uwvxpv1511557015.jpg,https://www.youtube.com/watch?v=tiG-xlmeyjg
Brown Stew Chicken,Chicken,Jamaican,"Squeeze lime over chicken and rub well. Drain off excess lime juice.
Combine tomato, scallion, onion, garlic, pepper, thyme, pimento and soy sauce in...",https://www.themealdb.com/images/media/meals/sypxpx1515365095.jpg,https://www.youtube.com/watch?v=_gFB1fkNhXs
Spanish chicken pie,Chicken,Spanish,"step 1
Heat oven to 200C/fan 180C/gas 6. Boil the potatoes for 15-20 mins until tender. Drain, return to the pan, then mash with some seasoning and 2...",https://www.themealdb.com/images/media/meals/8ovxf41763253962.jpg,
Katsu Chicken curry,Chicken,Japanese,"Prep:15min  ›  Cook:30min  ›  Ready in:45min 

For the curry sauce: Heat oil in medium non-stick saucepan, add onion and garlic and cook until softe...",https://www.themealdb.com/images/media/meals/vwrpps1503068729.jpg,https://www.youtube.com/watch?v=MWzxDFRtVbc
Nutty Chicken Curry,Chicken,India,"Finely slice a quarter of the chilli, then put the rest in a food processor with the ginger, garlic, coriander stalks and one-third of the leaves. Whi...",https://www.themealdb.com/images/media/meals/yxsurp1511304301.jpg,https://www.youtube.com/watch?v=nSQNfZxOdeU
Easy Spanish chicken,Chicken,Spanish,"step 1
Heat the oven to 200C/180C fan/gas 6. Heat the olive oil in a large ovenproof frying pan over a medium heat and fry the onion, chorizo and pep...",https://www.themealdb.com/images/media/meals/kzxflc1763194887.jpg,https://www.youtube.com/watch?v=EusTpzrqYK4
General Tsos Chicken,Chicken,Chinese,"DIRECTIONS:
STEP 1 - SAUCE
In a bowl, add 2 Cups of water, 2 Tablespoon soy sauce, 2 Tablespoon white vinegar, sherry cooking wine, 1/4 Teaspoon whi...",https://www.themealdb.com/images/media/meals/1529444113.jpg,https://www.youtube.com/watch?v=wWGwz0iBmvU
Smoky chicken skewers,Chicken,Turkish,"step 1
You need 15 skewers: if wooden, soak in water for 10 mins. Cut chicken into 3cm pieces and place in a bowl. Add 1 tbsp olive oil, the spices, ...",https://www.themealdb.com/images/media/meals/3um6il1763794322.jpg,https://www.youtube.com/watch?v=vNDTGF4ppu8
Sweet and Sour Chicken,Chicken,Chinese,"Coat the chicken with egg white:
In a bowl, combine the chicken with the egg white, 1/2 teaspoon kosher salt, and cornstarch. Stir to coat the chicke...",https://www.themealdb.com/images/media/meals/arzs741766434335.jpg,https://www.youtube.com/watch?v=cblsP5S9PhU
Kentucky Fried Chicken,Chicken,United States,"Preheat fryer to 350°F. Thoroughly mix together all the spice mix ingredients.
Combine spice mix with flour, brown sugar and salt.
Dip chicken piece...",https://www.themealdb.com/images/media/meals/40r49m1763197022.jpg,https://www.youtube.com/watch?v=PTUxCvCz8Bc
Chinese Orange Chicken,Chicken,Chinese,"Make the orange sauce:
Whisk together sauce ingredients in a medium bowl. Set aside.


Prep the chicken:
Cut chicken into about 1-inch cubes. Whi...",https://www.themealdb.com/images/media/meals/s73ytv1765567838.jpg,https://www.youtube.com/watch?v=-222Dutomek
Chicken and Potato Roti,Chicken,,"Add a pint of chicken stock to the simmer and put three tablespoons of sugar into a large saucepan on high; cook until the sugar caramelizes, then add...",https://www.themealdb.com/images/media/meals/mp9z0i1782238092.jpg,https://www.youtube.com/watch?v=2ehdHb1rcAQ
Thai green chicken soup,Chicken,Thai,"step 1
Heat the oil in your largest pan, add the onion and fry for 3 mins to soften. Add the chicken and garlic, and cook until the chicken changes c...",https://www.themealdb.com/images/media/meals/7kb44y1763589084.jpg,https://www.youtube.com/watch?v=3s4Yitd546w
